city,precinct,zip,race,party,sex,age,turf,voted01,voted00,voted99,family,famsize,represen,reached,other,goaway,nothome,bad,cant,nothing,contact,treatmen,primary
"Raleigh","07-07",,"W","R","F",39,21,"Abstained","Abstained","Abstained",61485,3,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","M",59,1217,"Voted","Voted","Abstained",26177,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"DETROIT","",,"","","F",57,723,"Abstained","Abstained","Abstained",12708,2,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"ST PAUL","ST PAUL  W-1 P-23",,"","","",33,185,"Abstained","Voted","Abstained",23843,3,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"DETROIT","",,"","","F",53,727,"Voted","Voted","Abstained",13323,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"DETROIT","",,"","","F",61,740,"Voted","Abstained","Voted",11080,1,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Voted"
"Raleigh","01-01",,"B","D","F",41,1,"Abstained","Abstained","Abstained",471,3,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment",
"Bridgeport","Luis Munoz Marin S",,"","I","F",22,2,"Abstained","Abstained",,3573,3,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"ST PAUL","ST PAUL  W-4 P-11",,"","","",38,1130,"Abstained","Voted","Abstained",5427,3,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Voted"
"Bridgeport","Luis Munoz Marin S",,"","D","F",32,2,"Abstained","Abstained",,3486,3,"Listed","No",0,"No","No","Yes",,,"No","Treatment","Abstained"
"DETROIT","",,"","","F",37,702,"Abstained","Abstained","Abstained",12573,1,"Listed","No",0,"No","No",,"Yes","No","No","Treatment","Abstained"
"ST PAUL","ST PAUL  W-1 P-23",,"","","",30,185,"Abstained","Voted","Abstained",24502,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 2",,"","","",44,152,"Abstained","Abstained","Abstained",3286,1,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"DETROIT","",,"","","F",38,742,"Abstained","Abstained","Abstained",10944,4,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Abstained"
"ST PAUL","ST PAUL  W-1 P-23",,"","","",32,185,"Abstained","Abstained","Abstained",20838,3,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"DETROIT","",,"","","M",40,712,"Abstained","Abstained","Abstained",11576,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"DETROIT","",,"","","F",79,715,"Voted","Voted","Abstained",11853,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"DETROIT","",,"","","F",69,1210,"Abstained","Voted","Abstained",26462,1,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Voted"
"Raleigh","07-04",,"W","R","F",43,20,"Abstained","Abstained","Abstained",57410,3,"Listed","No",0,,,"No",,,"No","Control",
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 2",,"","","",24,152,"Voted","Voted","Abstained",2095,1,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"ST PAUL","ST PAUL  W-4 P-11",,"","","",22,1130,"Abstained","Voted","Abstained",4522,2,"Listed","No",0,"No","No","No","No","No","No","Control","Voted"
"DETROIT","",,"","","M",89,740,"Voted","Voted","Voted",11255,1,"Listed","Yes",0,"No","No",,"No","No","Yes","Treatment","Voted"
"COLUMBUS","3A",,"","I","",89,18,"Abstained","Abstained","Abstained",4327,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 8",,"","","",38,103,"Abstained","Abstained","Abstained",3307,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Bridgeport","Beardsley School",,"","R","F",29,32,"Abstained","Voted",,19625,1,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"DETROIT","",,"","","F",49,706,"Abstained","Voted","Abstained",12000,2,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"Bridgeport","Black Rock School",,"","R","F",71,12,"Voted","Voted",,8456,2,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"Raleigh","01-37",,"W","D","M",79,9,"Voted","Abstained","Abstained",34965,2,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","F",31,1222,"Voted","Voted","Abstained",23022,4,"Listed","No",0,"No","No",,"No","Yes","No","Treatment","Voted"
"Raleigh","01-43",,"W","D","F",37,10,"Abstained","Voted","Abstained",42984,2,"Listed","No",0,,,"No",,,"No","Control",
"Bridgeport","Luis Munoz Marin S",,"","I","F",32,43,"Abstained","Abstained",,27032,1,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"DETROIT","",,"","","M",35,1215,"Voted","Voted","Abstained",26018,2,"Listed","Yes",0,"No","No",,"No","No","Yes","Treatment","Abstained"
"COLUMBUS","7C",,"","","",89,704,"Voted","Abstained","Abstained",19850,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Bridgeport","Luis Munoz Marin S",,"","D","M",67,45,"Abstained","Abstained",,27870,1,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"ST PAUL","ST PAUL  W-4 P-11",,"","","",39,1130,"Abstained","Voted","Abstained",3470,4,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"DETROIT","",,"","","F",43,710,"Voted","Voted","Abstained",11638,2,"Listed","No",0,"No","No",,"Yes","No","No","Treatment","Voted"
"Raleigh","07-01",,"W","D","M",63,15,"Abstained","Abstained","Abstained",53091,4,"Listed","No",0,,,"No",,,"No","Control",
"ST PAUL","ST PAUL  W-4 P-11",,"","","",37,1131,"Abstained","Voted","Abstained",3661,3,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"DETROIT","",,"","","F",65,1372,"Voted","Voted","Abstained",18997,2,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Voted"
"DETROIT","",,"","","F",25,1227,"Abstained","Voted","Abstained",23646,2,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"DETROIT","",,"","","F",64,1180,"Voted","Voted","Abstained",27361,1,"Listed","Yes",0,"No","No",,"No","No","Yes","Treatment","Voted"
"Bridgeport","Colombus School",,"","I","F",25,20,"Abstained","Voted",,13912,3,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 2",,"","","",48,151,"Abstained","Voted","Abstained",3990,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P-10",,"","","",43,111,"Voted","Voted","Abstained",5194,1,"Listed","No",0,"No","No","No","No","No","No","Control","Voted"
"Bridgeport","Colombus School",,"","D","F",70,19,"Abstained","Voted",,13660,2,"Listed","No",0,"No","No","No",,,"No","Treatment","Abstained"
"COLUMBUS","3F",,"","I","",89,16,"Abstained","Voted","Abstained",9842,1,"Listed","No",0,,,,,,"No","Control","Abstained"
"Raleigh","07-09",,"W","D","F",32,24,"Abstained","Abstained","Abstained",63447,3,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","01-01",,"W","I","F",20,1,"Voted","Voted","Abstained",834,3,"Listed","No",0,,,"No",,,"No","Control",
"COLUMBUS","6B",,"","I","",89,403,"Abstained","Abstained","Abstained",23522,3,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"COLUMBUS","6B",,"","I","",89,402,"Abstained","Abstained","Abstained",8993,1,"Listed","No",0,"No","No","No","Yes","No","No","Treatment","Abstained"
"Raleigh","07-04",,"W","R","F",33,19,"Abstained","Abstained","Abstained",56829,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"DETROIT","",,"","","M",36,725,"Abstained","Voted","Abstained",13263,1,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 8",,"","","",26,103,"Abstained","Voted","Abstained",4273,3,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","01-01",,"W","R","F",27,2,"Abstained","Voted","Abstained",39,2,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","01-44",,"B","D","F",27,11,"Abstained","Voted","Abstained",44240,2,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","F",61,743,"Voted","Voted","Abstained",10910,3,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"Raleigh","07-01",,"W","I","M",26,14,"Abstained","Abstained","Abstained",53055,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"Bridgeport","Colombus School",,"","I","M",24,18,"Abstained","Abstained",,13351,1,"Listed","Yes",0,"No","No","No",,,"Yes","Treatment","Abstained"
"Raleigh","01-37",,"W","D","F",41,9,"Voted","Voted","Voted",34840,2,"Listed","No",0,,,"No",,,"No","Control",
"COLUMBUS","3F",,"","R","",89,16,"Abstained","Voted","Voted",14553,1,"Listed","No",0,"No","No","No","Yes","No","No","Treatment","Abstained"
"ST PAUL","ST PAUL  W-1 P-10",,"","","",20,113,"Abstained","Voted","Abstained",24677,3,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"DETROIT","",,"","","F",31,1211,"Voted","Voted","Abstained",26237,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 8",,"","","",51,103,"Voted","Voted","Abstained",3550,2,"Listed","No",0,"No","No","No","No","No","No","Control","Voted"
"Raleigh","01-44",,"W","R","F",44,11,"Voted","Voted","Voted",43686,2,"Listed","No",0,,,"No",,,"No","Control",
"ST PAUL","ST PAUL  W-1 P-10",,"","","",82,112,"Voted","Voted","Voted",21601,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"ST PAUL","ST PAUL  W-1 P- 3",,"","","",29,110,"Abstained","Voted","Abstained",22795,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"COLUMBUS","4E",,"","D","",89,412,"Abstained","Voted","Abstained",4297,1,"Listed","No",0,,,,,,"No","Control","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 9",,"","","",52,123,"Abstained","Abstained","Abstained",755,1,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"Raleigh","07-04",,"W","R","F",69,19,"Abstained","Abstained","Abstained",57229,2,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","01-01",,"W","LIB","F",24,2,"Abstained","Voted","Abstained",362,2,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","M",48,1225,"Voted","Voted","Abstained",23635,4,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 8",,"","","",24,104,"Abstained","Abstained","Abstained",4773,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"ST PAUL","ST PAUL  W-1 P-10",,"","","",44,113,"Voted","Voted","Voted",20836,2,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 9",,"","","",26,105,"Abstained","Voted","Abstained",3772,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Bridgeport","Harbor View Towers",,"","I","F",23,30,"Abstained","Abstained",,17863,4,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"COLUMBUS","3A",,"","D","",89,15,"Abstained","Voted","Abstained",13416,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Bridgeport","Harbor View Towers",,"","D","F",48,30,"Voted","Voted",,17888,2,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"DETROIT","",,"","","M",18,703,"Voted","Abstained","Abstained",12415,3,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 8",,"","","",37,104,"Voted","Voted","Voted",3172,1,"Listed","No",0,"No","No","No","No","No","No","Control","Voted"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 8",,"","","",40,104,"Voted","Abstained","Abstained",5085,1,"Listed","No",0,"No","No","No","No","No","No","Control","Voted"
"Raleigh","07-07",,"W","D","F",27,22,"Abstained","Voted","Abstained",60434,4,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","F",40,1220,"Voted","Voted","Abstained",26537,2,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"DETROIT","",,"","","M",47,771,"Voted","Voted","Abstained",13816,4,"Listed","Yes",0,"No","No",,"No","No","Yes","Treatment","Abstained"
"COLUMBUS","3A",,"","D","",89,15,"Voted","Voted","Voted",13535,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Bridgeport","Luis Munoz Marin S",,"","D","M",33,2,"Abstained","Abstained",,3477,2,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"ST PAUL","ST PAUL  W-4 P- 7",,"","","",31,1118,"Voted","Voted","Voted",25991,2,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment","Abstained"
"Raleigh","07-07",,"W","I","F",28,21,"Abstained","Abstained","Abstained",61257,3,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","F",66,1215,"Voted","Voted","Abstained",26082,1,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Voted"
"DETROIT","",,"","","F",46,1225,"Voted","Voted","Abstained",23462,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"DETROIT","",,"","","M",27,722,"Abstained","Abstained","Abstained",12886,1,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Abstained"
"Raleigh","07-09",,"W","I","M",31,23,"Abstained","Voted","Abstained",62400,2,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","07-04",,"B","D","M",63,18,"Abstained","Voted","Abstained",57342,2,"Listed","No",0,,,"No",,,"No","Control",
"Bridgeport","Luis Munoz Marin S",,"","I","F",24,35,"Abstained","Voted",,20893,4,"Listed","Yes",0,"No","No","No",,,"Yes","Treatment","Abstained"
"DETROIT","",,"","","F",25,1210,"Abstained","Abstained","Abstained",26411,3,"Listed","No",0,"No","No",,"No","Yes","No","Treatment","Abstained"
"Bridgeport","Luis Munoz Marin S",,"","D","M",25,2,"Abstained","Abstained",,3495,2,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"DETROIT","",,"","","F",42,710,"Voted","Voted","Abstained",11609,1,"Listed","Yes",0,"No","No",,"No","No","Yes","Treatment","Voted"
"Raleigh","01-28",,"B","I","F",51,8,"Abstained","Abstained","Abstained",24171,2,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment",
"DETROIT","",,"","","F",32,707,"Abstained","Abstained","Abstained",12302,2,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"DETROIT","",,"","","F",61,1370,"Voted","Voted","Abstained",19019,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"ST PAUL","ST PAUL  W-4 P-10",,"","","",45,1122,"Voted","Voted","Voted",6125,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"COLUMBUS","3F",,"","D","",89,17,"Abstained","Abstained","Voted",1257,4,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"DETROIT","",,"","","M",80,1142,"Abstained","Voted","Abstained",29177,1,"Listed","No",0,"Yes","No",,"No","No","No","Treatment","Abstained"
"Raleigh","07-07",,"O","R","M",31,21,"Abstained","Abstained","Abstained",61317,2,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment",
"ST PAUL","ST PAUL  W-4 P-11",,"","","",22,1130,"Abstained","Abstained","Abstained",3861,4,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","07-01",,"W","I","F",23,14,"Abstained","Voted","Abstained",53107,3,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment",
"DETROIT","",,"","","M",61,1201,"Voted","Voted","Abstained",24935,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"ST PAUL","ST PAUL  W-4 P- 7",,"","","",38,1116,"Abstained","Voted","Voted",8775,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","01-13",,"W","R","F",41,6,"Voted","Voted","Voted",10178,3,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","",65,1216,"Abstained","Voted","Abstained",25829,2,"Listed","No",0,"No","No",,"No","Yes","No","Treatment","Abstained"
"ST PAUL","ST PAUL  W-4 P- 7",,"","","",24,1117,"Abstained","Voted","Voted",8254,4,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"DETROIT","",,"","","M",30,1216,"Abstained","Voted","Abstained",25831,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"Raleigh","07-04",,"W","I","F",26,20,"Abstained","Voted","Abstained",57322,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 5",,"","","",29,136,"Abstained","Abstained","Abstained",6726,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Bridgeport","Luis Munoz Marin S",,"","D","F",43,35,"Abstained","Abstained",,20912,1,"Listed","No",0,"No","No","Yes",,,"No","Treatment","Abstained"
"DETROIT","",,"","","F",65,1217,"Abstained","Abstained","Abstained",26133,2,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Abstained"
"Bridgeport","Black Rock School",,"","D","F",31,49,"Abstained","Abstained",,32036,2,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"Raleigh","07-02",,"W","R","M",54,16,"Abstained","Voted","Voted",54619,2,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","F",52,731,"Voted","Voted","Abstained",11258,3,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Voted"
"COLUMBUS","3A",,"","R","",89,18,"Abstained","Voted","Abstained",3284,4,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 5",,"","","",30,134,"Abstained","Abstained","Abstained",8240,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"DETROIT","",,"","","F",68,720,"Voted","Voted","Abstained",12704,3,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"DETROIT","",,"","","F",20,1178,"Abstained","Voted","Abstained",27974,4,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"Bridgeport","Black Rock School",,"","D","F",50,15,"Abstained","Abstained",,11831,2,"Listed","No",0,"No","No","Yes",,,"No","Treatment","Abstained"
"COLUMBUS","4E",,"","I","",89,412,"Abstained","Abstained","Abstained",5042,1,"Listed","No",0,,,,,,"No","Control","Abstained"
"Raleigh","01-43",,"W","R","M",23,10,"Abstained","Abstained","Abstained",42860,2,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","07-07",,"W","I","F",38,21,"Abstained","Abstained","Abstained",60413,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"Raleigh","07-09",,"W","R","F",28,24,"Abstained","Abstained","Abstained",62953,2,"Listed","No",0,,,"No",,,"No","Control",
"COLUMBUS","3A",,"","I","",89,15,"Abstained","Voted","Abstained",13359,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"DETROIT","",,"","","F",60,748,"Voted","Voted","Voted",14128,1,"Listed","Yes",0,"No","No",,"No","No","Yes","Treatment","Voted"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 5",,"","","",40,136,"Voted","Voted","Abstained",7115,1,"Listed","No",0,"No","No","No","No","Yes","No","Treatment","Voted"
"DETROIT","",,"","","F",27,727,"Voted","Voted","Abstained",13336,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"COLUMBUS","3A",,"","I","",89,18,"Abstained","Abstained","Abstained",13833,1,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment","Abstained"
"Raleigh","01-44",,"W","R","M",89,11,"Abstained","Voted","Abstained",43210,2,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment",
"MINNEAPOLIS","MINNEAPOLIS W- 6 P-10",,"","","",31,111,"Abstained","Voted","Abstained",5331,2,"Listed","No",0,"No","No","No","No","No","No","Control","Voted"
"DETROIT","",,"","","F",25,706,"Voted","Voted","Abstained",12051,2,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 2",,"","","",31,152,"Abstained","Voted","Abstained",3438,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","07-01",,"W","I","F",34,15,"Abstained","Abstained","Abstained",53766,3,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","F",78,747,"Abstained","Voted","Voted",13855,1,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Abstained"
"DETROIT","",,"","","F",67,1206,"Voted","Voted","Abstained",26304,1,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Voted"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 9",,"","","",83,121,"Abstained","Abstained","Abstained",2453,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","01-44",,"B","R","M",41,13,"Voted","Voted","Abstained",45038,2,"Listed","No",0,,,"No",,,"No","Control",
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 8",,"","","",35,103,"Abstained","Abstained","Abstained",4771,3,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"DETROIT","",,"","","F",65,722,"Voted","Voted","Abstained",12781,2,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Abstained"
"Raleigh","01-01",,"W","I","M",55,2,"Voted","Voted","Voted",691,2,"Listed","No",0,,,"No",,,"No","Control",
"Bridgeport","Longfellow School",,"","D","M",69,12,"Abstained","Voted",,8426,2,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"Raleigh","07-07",,"W","R","F",60,22,"Abstained","Voted","Abstained",60667,2,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","F",47,723,"Voted","Voted","Abstained",12758,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"COLUMBUS","6A",,"","I","",89,412,"Abstained","Abstained","Abstained",7264,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 8",,"","","",42,103,"Voted","Voted","Abstained",4649,1,"Listed","No",0,"No","No","No","No","No","No","Control","Voted"
"COLUMBUS","3A",,"","I","",89,18,"Abstained","Abstained","Abstained",13610,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","07-07",,"O","R","F",40,21,"Abstained","Voted","Abstained",61486,2,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","F",42,740,"Voted","Voted","Abstained",11190,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"COLUMBUS","6B",,"","I","",89,401,"Abstained","Voted","Abstained",6405,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"DETROIT","",,"","","F",38,1215,"Voted","Voted","Abstained",26524,2,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"Raleigh","01-37",,"W","R","F",47,9,"Abstained","Voted","Abstained",34482,3,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"Raleigh","01-12",,"W","D","F",22,5,"Abstained","Voted","Voted",9168,3,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","M",31,1370,"Voted","Voted","Abstained",19075,2,"Listed","Yes",0,"No","No",,"No","No","Yes","Treatment","Voted"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 9",,"","","",41,123,"Abstained","Abstained","Abstained",3102,1,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"Raleigh","07-01",,"W","D","F",59,14,"Voted","Voted","Voted",53050,2,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","01-43",,"W","R","M",64,10,"Abstained","Voted","Voted",42779,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"ST PAUL","ST PAUL  W-1 P-23",,"","","",45,187,"Abstained","Voted","Voted",25819,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"COLUMBUS","6A",,"","I","",89,402,"Abstained","Abstained","Abstained",13704,3,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"DETROIT","",,"","","F",66,1171,"Voted","Abstained","Abstained",27617,1,"Listed","No",0,"No","No",,"No","Yes","No","Treatment","Abstained"
"Raleigh","07-04",,"W","D","F",55,18,"Abstained","Voted","Voted",55985,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 9",,"","","",36,124,"Abstained","Voted","Abstained",811,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","07-04",,"W","D","F",41,18,"Abstained","Voted","Voted",56057,2,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","",45,711,"Abstained","Abstained","Abstained",11571,3,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"Raleigh","01-44",,"W","D","F",27,13,"Abstained","Voted","Abstained",44525,3,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","F",89,706,"Voted","Voted","Abstained",12053,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"DETROIT","",,"","","M",80,1371,"Voted","Abstained","Abstained",19129,2,"Listed","Yes",0,"No","No",,"No","No","Yes","Treatment","Voted"
"Raleigh","07-01",,"W","I","M",35,15,"Abstained","Abstained","Abstained",53562,3,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","01-01",,"W","D","M",34,2,"Abstained","Abstained","Abstained",212,3,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","F",49,706,"Abstained","Abstained","Abstained",12110,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"COLUMBUS","3A",,"","I","",89,18,"Abstained","Abstained","Abstained",1355,1,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 2",,"","","",73,152,"Voted","Voted","Voted",4056,1,"Listed","No",0,"No","No","No","No","No","No","Control","Voted"
"DETROIT","",,"","","F",49,744,"Voted","Voted","Abstained",11036,4,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Voted"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 9",,"","","",45,124,"Abstained","Voted","Abstained",2543,2,"Listed","No",0,"No","No","Yes","No","No","No","Treatment","Abstained"
"Raleigh","01-28",,"W","R","M",59,7,"Voted","Voted","Abstained",24184,2,"Listed","No",0,"No","No","No","No","Yes","No","Treatment",
"Raleigh","01-01",,"W","I","F",48,2,"Abstained","Voted","Abstained",705,2,"Listed","No",0,"Yes","No","No","No","No","No","Treatment",
"DETROIT","",,"","","M",65,725,"Voted","Voted","Abstained",13188,3,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"Raleigh","07-04",,"W","R","F",28,20,"Abstained","Voted","Abstained",57132,2,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","07-09",,"B","D","F",39,24,"Abstained","Voted","Abstained",62468,2,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","F",26,702,"Voted","Voted","Abstained",12412,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"Bridgeport","Luis Munoz Marin S",,"","D","M",36,2,"Voted","Voted",,3518,2,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
